timestamp,power,productionPower
2024-01-13 21:45:00,1.0005,0.0
2024-01-13 22:00:00,1.16018,0.0
2024-01-13 22:15:00,0.947,0.0
2024-01-13 22:30:00,1.209,0.0
2024-01-13 22:45:00,1.1152,0.0
2024-01-13 23:00:00,0.93751,0.0
2024-01-13 23:15:00,0.90642,0.0
2024-01-13 23:30:00,0.92844,0.0
2024-01-13 23:45:00,0.93202,0.0
2024-01-14 00:00:00,0.9145,0.0
2024-01-14 00:15:00,1.1505,0.0
2024-01-14 00:30:00,0.88806,0.0
2024-01-14 00:45:00,1.2354,0.0
2024-01-14 01:00:00,1.13046,0.0
2024-01-14 01:15:00,0.9198200000000001,0.0
2024-01-14 01:30:00,0.9826699999999999,0.0
2024-01-14 01:45:00,0.69957,0.0
2024-01-14 02:00:00,0.9322,0.0
2024-01-14 02:15:00,0.62367,0.0
2024-01-14 02:30:00,0.90488,0.0
2024-01-14 02:45:00,0.9388,0.0
2024-01-14 03:00:00,0.879,0.0
2024-01-14 03:15:00,0.62,0.0
2024-01-14 03:30:00,0.99333,0.0
2024-01-14 03:45:00,0.948,0.0
2024-01-14 04:00:00,0.835,0.0
2024-01-14 04:15:00,0.96733,0.0
2024-01-14 04:30:00,0.7976,0.0
2024-01-14 04:45:00,0.7823300000000001,0.0
2024-01-14 05:00:00,0.81525,0.0
2024-01-14 05:15:00,0.887,0.0
2024-01-14 05:30:00,0.60933,0.0
2024-01-14 05:45:00,0.74986,0.0
2024-01-14 06:00:00,1.0654000000000001,0.0
2024-01-14 06:15:00,0.93183,0.0
2024-01-14 06:30:00,1.09617,0.0
2024-01-14 06:45:00,1.2016,0.0
2024-01-14 07:00:00,0.9168,0.0
2024-01-14 07:15:00,0.8946000000000001,0.0
2024-01-14 07:30:00,0.865,0.0
2024-01-14 07:45:00,0.74883,0.0
2024-01-14 08:00:00,0.7343999999999999,0.034
2024-01-14 08:15:00,0.5812,0.04033
2024-01-14 08:30:00,0.59287,0.083
2024-01-14 08:45:00,0.59625,0.095
2024-01-14 09:00:00,0.45864,0.161
2024-01-14 09:15:00,0.28513,0.30160000000000003
2024-01-14 09:30:00,0.0,0.4895
2024-01-14 09:45:00,0.0,0.599
2024-01-14 10:00:00,0.0,0.72108
2024-01-14 10:15:00,0.0,1.14829
2024-01-14 10:30:00,0.0,1.38138
2024-01-14 10:45:00,0.0,1.4343800000000002
2024-01-14 11:00:00,0.0,1.66522
2024-01-14 11:15:00,0.0,1.5677
2024-01-14 11:30:00,0.0,1.88927
2024-01-14 11:45:00,0.79483,1.88331
2024-01-14 12:00:00,0.37088,1.76131
2024-01-14 12:15:00,0.20463,2.0232
2024-01-14 12:30:00,0.07214,2.20917
2024-01-14 12:45:00,0.1427,2.2102399999999998
2024-01-14 13:00:00,0.41256,1.81062
2024-01-14 13:15:00,0.64324,2.222
2024-01-14 13:30:00,0.57499,2.10556
2024-01-14 13:45:00,0.0,2.12469
2024-01-14 14:00:00,0.07334,2.05272
2024-01-14 14:15:00,0.9564,1.13613
2024-01-14 14:30:00,1.61644,0.69517
2024-01-14 14:45:00,2.0982,0.35625
2024-01-14 15:00:00,2.55815,0.201
2024-01-14 15:15:00,1.5225499999999998,0.293
2024-01-14 15:30:00,1.51118,0.23333
2024-01-14 15:45:00,1.22136,0.304
2024-01-14 16:00:00,1.2497,0.10029
2024-01-14 16:15:00,1.3481800000000002,0.02533
2024-01-14 16:30:00,0.96394,0.0
2024-01-14 16:45:00,2.55687,0.0
2024-01-14 17:00:00,2.46883,0.0
2024-01-14 17:15:00,2.5898499999999998,0.0
2024-01-14 17:30:00,2.8946199999999997,0.0
2024-01-14 17:45:00,2.9498,0.0
2024-01-14 18:00:00,1.34738,0.0
2024-01-14 18:15:00,1.234,0.0
2024-01-14 18:30:00,1.26014,0.0
2024-01-14 18:45:00,1.3768,0.0
2024-01-14 19:00:00,1.2281199999999999,0.0
2024-01-14 19:15:00,1.30605,0.0
2024-01-14 19:30:00,1.1959000000000002,0.0
2024-01-14 19:45:00,1.2291400000000001,0.0
2024-01-14 20:00:00,1.20917,0.0
2024-01-14 20:15:00,1.17189,0.0
2024-01-14 20:30:00,1.19846,0.0
2024-01-14 20:45:00,1.172,0.0
2024-01-14 21:00:00,1.3355,0.0
2024-01-14 21:15:00,1.071,0.0
2024-01-14 21:30:00,1.13246,0.0
2024-01-14 21:45:00,1.13588,0.0
2024-01-14 22:00:00,1.1555,0.0
2024-01-14 22:15:00,1.022,0.0
2024-01-14 22:30:00,1.19285,0.0
2024-01-14 22:45:00,0.95856,0.0
2024-01-14 23:00:00,1.16263,0.0
2024-01-14 23:15:00,0.93211,0.0
2024-01-14 23:30:00,0.8899400000000001,0.0
2024-01-14 23:45:00,0.88815,0.0
2024-01-15 00:00:00,0.88675,0.0
2024-01-15 00:15:00,1.105,0.0
2024-01-15 00:30:00,1.023,0.0
2024-01-15 00:45:00,0.8976000000000001,0.0
2024-01-15 01:00:00,0.9668,0.0
2024-01-15 01:15:00,0.769,0.0
2024-01-15 01:30:00,0.6535,0.0
2024-01-15 01:45:00,0.82467,0.0
2024-01-15 02:00:00,0.8082,0.0
2024-01-15 02:15:00,0.5936699999999999,0.0
2024-01-15 02:30:00,0.59733,0.0
2024-01-15 02:45:00,0.743,0.0
2024-01-15 03:00:00,1.0155,0.0
2024-01-15 03:15:00,0.6543300000000001,0.0
2024-01-15 03:30:00,0.5106700000000001,0.0
2024-01-15 03:45:00,0.815,0.0
2024-01-15 04:00:00,0.5985,0.0
2024-01-15 04:15:00,0.59375,0.0
2024-01-15 04:30:00,0.74317,0.0
2024-01-15 04:45:00,0.75944,0.0
2024-01-15 05:00:00,0.6848,0.0
2024-01-15 05:15:00,0.648,0.0
2024-01-15 05:30:00,0.528,0.0
2024-01-15 05:45:00,0.8625,0.0
2024-01-15 06:00:00,0.7225,0.0
2024-01-15 06:15:00,0.842,0.0
2024-01-15 06:30:00,0.86225,0.0
2024-01-15 06:45:00,0.9696699999999999,0.0
2024-01-15 07:00:00,0.87825,0.0
2024-01-15 07:15:00,0.9057999999999999,0.0
2024-01-15 07:30:00,1.05283,0.0
2024-01-15 07:45:00,0.958,0.0
