context,current_step,temperature_c,delta_t_hours,voc_v,R0_ohm,v_prev_v,v_batt_v,external_energy_change_kwh,power_kw,current_a,soc_previous,soc_unbounded,soc_new,dyn_eta,soe_previous,soe_new,internal_energy_change_kwh
transition (state_update=True),0,25.0,0.25,52.599,0.0034674999999999997,52.21796328827544,52.21796328827544,-1.445,5.78,109.8880206848039,0.390625,0.36315299482879904,0.36315299482879904,0.9,0.390625,0.36240234375,-1.444999999999999
transition (state_update=True),1,25.0,0.25,52.572626875035645,0.0033136567710412746,52.15862572652422,52.15862572652422,-1.631,6.524,124.9378487625702,0.36315299482879904,0.3319185326381565,0.3319185326381565,0.9921251576510435,0.36240234375,0.33033051315642464,-1.6420777263910595
transition (state_update=True),2,25.0,0.25,52.554213930444206,0.0031966044783315758,52.20904999693956,52.20904999693956,-1.408,5.632,107.97830505599306,0.3319185326381565,0.30492395637415826,0.30492395637415826,0.9934322310678747,0.33033051315642464,0.30262194409509935,-1.4186787359398552
transition (state_update=True),3,25.0,0.25,52.54557566603973,0.00313181749529798,52.13934977073229,52.13934977073229,-1.693,6.772,129.70931285662098,0.30492395637415826,0.27249662816000303,0.27249662816000303,0.9922690751760097,0.30262194409509935,0.2693424005731384,-1.7039126283244004
transition (state_update=True),4,25.0,0.25,52.42078489415681,0.0032300134873599886,52.15093230081208,52.15093230081208,-1.089,4.356,83.54534567757845,0.27249662816000303,0.2516102917406084,0.2516102917406084,0.9948521832725399,0.2693424005731384,0.247958061731965,-1.0948781486680788
transition (state_update=True),5,25.0,0.25,52.32721410699793,0.0033135588330375667,52.01079554532497,52.01079554532497,-1.245,4.98,95.49206083747141,0.2516102917406084,0.22773727653124054,0.22773727653124054,0.9939530783919442,0.247958061731965,0.2235594605944609,-1.2492083782402092
transition (state_update=True),6,25.0,0.25,52.24163521338997,0.0034090508938750376,51.93383559544938,51.93383559544938,-1.174,4.696,90.28894772254841,0.22773727653124054,0.20516503960060345,0.20516503960060345,0.99410815498628,0.2235594605944609,0.2005280041944501,-1.1792105676805533
transition (state_update=True),7,25.0,0.25,52.162180939394126,0.003499339841597586,51.917454121916464,51.917454121916464,-0.908,3.632,69.93513878490131,0.20516503960060345,0.18768125490437812,0.18768125490437812,0.9953083476750713,0.2005280041944501,0.1827156537876158,-0.9119923408299159
transition (state_update=True),8,25.0,0.25,52.037566042373825,0.004456224627267263,51.56514186897575,51.56514186897575,-1.376,5.504,106.01444337149303,0.18768125490437812,0.16117764406150487,0.16117764406150487,0.990921478283335,0.1827156537876158,0.15577847801422925,-1.379183399597392
transition (state_update=True),9,25.0,0.25,51.8085748446914,0.0064704990513256315,51.43212873302743,51.43212873302743,-0.75,3.0,58.178837316550755,0.16117764406150487,0.1466329347323672,0.1466329347323672,0.9927339033588077,0.15577847801422925,0.14106088696202396,-0.7535406618729112
transition (state_update=True),10,25.0,0.25,51.69045078228715,0.007144912606083093,51.12310457667491,51.12310457667491,-1.021,4.084,79.40561863964685,0.1466329347323672,0.12678153007245546,0.12678153007245546,0.9890241582917931,0.14106088696202396,0.12101932337740615,-1.026128055532432
transition (state_update=True),11,25.0,0.25,51.563401792463715,0.006112639563767683,51.22622266939282,51.22622266939282,-0.705,2.82,55.16096925941846,0.12678153007245546,0.11299128775760085,0.11299128775760085,0.9934608828868973,0.12101932337740615,0.1071312021802131,-0.7110718052962839
transition (state_update=True),12,25.0,0.25,51.47514424164865,0.005395546963395243,51.135146000703855,51.135146000703855,-0.807,3.228,63.01460134652285,0.11299128775760085,0.09723763742097014,0.09723763742097014,0.993394904551434,0.1071312021802131,0.09129289312922555,-0.810921423410563
transition (state_update=True),13,25.0,0.25,51.313327913749234,0.004768617581390926,51.040276727425834,51.040276727425834,-0.732,2.928,57.26003011626675,0.09723763742097014,0.08292262989190345,0.08292262989190345,0.9946787472684998,0.09129289312922555,0.07694620024979609,-0.7345506754267881
transition (state_update=True),14,25.0,0.25,50.90563649932142,0.0050205617139025,50.65815090398194,50.65815090398194,-0.629,2.516,49.29440358320118,0.08292262989190345,0.07059902899610315,0.07059902899610315,0.9951383459208338,0.07694620024979609,0.06469345127393043,-0.6273407475643218
transition (state_update=True),15,25.0,0.25,50.55466034580902,0.005237457089668585,50.183703338843856,50.183703338843856,-0.897,3.588,70.82769378615373,0.07059902899610315,0.05289210554956472,0.05289210554956472,0.9926622589405664,0.06469345127393043,0.047209711027661055,-0.8951675006089922
transition (state_update=True),16,25.0,0.25,50.050367166051615,0.005549098942327661,49.83231185354541,49.83231185354541,-0.493,1.972,39.29562524879678,0.05289210554956472,0.043068199237365525,0.043068199237365525,0.9956432824601913,0.047209711027661055,0.037606388411831726,-0.4916901179304617
transition (state_update=True),17,25.0,0.25,49.94581823755957,0.005788544980743659,49.49558023914397,49.49558023914397,-0.969,3.876,77.78085856003156,0.043068199237365525,0.023622984597357635,0.023622984597357635,0.9909854715709309,0.037606388411831726,0.018637498646203475,-0.9712071560001665
transition (state_update=True),18,25.0,0.25,49.88359355071155,0.006317454818951873,49.42971728079713,49.42971728079713,-0.889,3.556,71.84479872382039,0.023622984597357635,0.005661784916402537,0.005661784916402537,0.9909012916350339,0.018637498646203475,0.001138100510111012,-0.8959691845679342
transition (state_update=True),19,25.0,0.25,49.8261177117325,0.006805999450273853,49.79376704194434,49.79376704194434,-0.0587380469671043,0.2349521878684172,4.75325777272235,0.005661784916402537,0.00447347047322195,0.00447347047322195,0.9993507286685405,0.001138100510111012,0.0,-0.05827074611768382
transition (state_update=True),20,25.0,0.25,49.82231510551431,0.006838321603128363,49.82231510551431,49.82231510551431,-0.0,0.0,0.0,0.00447347047322195,0.00447347047322195,0.00447347047322195,1.0,0.0,0.0,0.0
transition (state_update=True),21,25.0,0.25,49.82231510551431,0.006838321603128363,49.82231510551431,49.82231510551431,-0.0,0.0,0.0,0.00447347047322195,0.00447347047322195,0.00447347047322195,1.0,0.0,0.0,0.0
transition (state_update=True),22,25.0,0.25,49.82231510551431,0.006838321603128363,49.82231510551431,49.82231510551431,-0.0,0.0,0.0,0.00447347047322195,0.00447347047322195,0.00447347047322195,1.0,0.0,0.0,0.0
