context,current_step,temperature_c,delta_t_hours,voc_v,R0_ohm,v_prev_v,v_batt_v,external_energy_change_kwh,power_kw,current_a,soc_previous,soc_unbounded,soc_new,dyn_eta,soe_previous,soe_new,internal_energy_change_kwh
transition (state_update=True),0,25.0,0.25,52.599,0.0034674999999999997,52.21796328827544,52.21796328827544,-1.445,5.78,109.8880206848039,0.390625,0.36315299482879904,0.36315299482879904,0.9,0.390625,0.36240234375,-1.6055555555555556
transition (state_update=True),1,25.0,0.25,52.572626875035645,0.0033136567710412746,52.15862572652422,52.15862572652422,-1.631,6.524,124.9378487625702,0.36315299482879904,0.3319185326381565,0.3319185326381565,0.9921251576510435,0.36240234375,0.33033051315642464,-1.6439458141163936
transition (state_update=True),2,25.0,0.25,52.554213930444206,0.0031966044783315758,52.20904999693956,52.20904999693956,-1.408,5.632,107.97830505599306,0.3319185326381565,0.30492395637415826,0.30492395637415826,0.9934322310678747,0.33033051315642464,0.30262194409509935,-1.4173085550953908
transition (state_update=True),3,25.0,0.25,52.54557566603973,0.00313181749529798,52.13934977073229,52.13934977073229,-1.693,6.772,129.70931285662098,0.30492395637415826,0.27249662816000303,0.27249662816000303,0.9922690751760097,0.30262194409509935,0.2693424005731384,-1.7061904299493502
transition (state_update=True),4,25.0,0.25,52.42078489415681,0.0032300134873599886,52.15093230081208,52.15093230081208,-1.089,4.356,83.54534567757845,0.27249662816000303,0.2516102917406084,0.2516102917406084,0.9948521832725399,0.2693424005731384,0.247958061731965,-1.094634980261855
transition (state_update=True),5,25.0,0.25,52.32721410699793,0.0033135588330375667,52.01079554532497,52.01079554532497,-1.245,4.98,95.49206083747141,0.2516102917406084,0.22773727653124054,0.22773727653124054,0.9939530783919442,0.247958061731965,0.2235594605944609,-1.2525742181051538
transition (state_update=True),6,25.0,0.25,52.24163521338997,0.0034090508938750376,51.93383559544938,51.93383559544938,-1.174,4.696,90.28894772254841,0.22773727653124054,0.20516503960060345,0.20516503960060345,0.99410815498628,0.2235594605944609,0.2005280041944501,-1.1809580216311601
transition (state_update=True),7,25.0,0.25,52.162180939394126,0.003499339841597586,51.917454121916464,51.917454121916464,-0.908,3.632,69.93513878490131,0.20516503960060345,0.18768125490437812,0.18768125490437812,0.9953083476750713,0.2005280041944501,0.1827156537876158,-0.9122801010571109
transition (state_update=True),8,25.0,0.25,52.037566042373825,0.004456224627267263,51.56514186897575,51.56514186897575,-1.376,5.504,106.01444337149303,0.18768125490437812,0.16117764406150487,0.16117764406150487,0.990921478283335,0.1827156537876158,0.15577847801422925,-1.3886064942136203
transition (state_update=True),9,25.0,0.25,51.8085748446914,0.0064704990513256315,51.43212873302743,51.43212873302743,-0.75,3.0,58.178837316550755,0.16117764406150487,0.1466329347323672,0.1466329347323672,0.9927339033588077,0.15577847801422925,0.14106088696202396,-0.7554894594235738
