timestamp,InstantPower,InstantProdPower,ElectricPower,PhaseVoltage,LineCurrent,WithdrawnActiveEnergyReading,FeedInActiveEnergyReading,ProducedActiveEnergyReading
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:35:22Z,,,52.0,224.0,0.4617,,,
2025-12-12T09:34:30Z,,,1.0,228.0,0.0,,,
2025-12-12T09:33:24Z,,,0.0,226.0,0.0,,,
2025-12-12T09:35:42Z,2126.0,,,,,,,
2025-12-12T09:34:30Z,,,1.0,228.0,0.0,,,
2025-12-12T09:33:24Z,,,0.0,226.0,0.0,,,
2025-12-12T09:35:45Z,,2975.0,,,,,,
2025-12-12T09:35:52Z,1971.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:35:47Z,,,55.0,220.0,0.5088,,,
2025-12-12T09:35:47Z,-1038.0,,,,,,,
2025-12-12T09:35:50Z,,2641.0,,,,,,
2025-12-12T09:34:30Z,,,1.0,228.0,0.0,,,
2025-12-12T09:33:24Z,,,0.0,226.0,0.0,,,
2025-12-12T09:35:50Z,-800.0,,,,,,,
2025-12-12T09:35:52Z,,2374.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:35:52Z,,,53.0,218.0,0.4581,,,
2025-12-12T09:35:54Z,-393.0,,,,,,,
2025-12-12T09:35:57Z,,2509.0,,,,,,
2025-12-12T09:35:55Z,-716.0,,,,,,,
2025-12-12T09:35:57Z,-908.0,,,,,,,
2025-12-12T09:35:59Z,-876.0,,,,,,,
2025-12-12T09:36:03Z,,2333.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:36:02Z,,,62.0,217.0,0.5186,,,
2025-12-12T09:36:08Z,,2442.0,,,,,,
2025-12-12T09:36:09Z,-931.0,,,,,,,
2025-12-12T09:36:12Z,,2356.0,,,,,,
2025-12-12T09:36:10Z,-865.0,,,,,,,
2025-12-12T09:35:56Z,-635.0,,,,,,,
2025-12-12T09:36:13Z,,2044.0,,,,,,
2025-12-12T09:36:14Z,,1728.0,,,,,,
2025-12-12T09:34:06Z,,,0.0,233.0,0.0,,,
2025-12-12T09:34:43Z,,,0.0,234.0,0.0,,,
2025-12-12T09:36:11Z,-596.0,,,,,,,
2025-12-12T09:36:01Z,-604.0,,,,,,,
2025-12-12T09:36:12Z,-256.0,,,,,,,
2025-12-12T09:36:15Z,,1478.0,,,,,,
2025-12-12T09:36:24Z,1778.0,,,,,,,
2025-12-12T09:36:20Z,,1180.0,,,,,,
2025-12-12T09:34:06Z,,,0.0,233.0,0.0,,,
2025-12-12T09:34:43Z,,,0.0,234.0,0.0,,,
2025-12-12T09:36:13Z,11.0,,,,,,,
2025-12-12T09:36:22Z,,1262.0,,,,,,
2025-12-12T09:34:30Z,,,1.0,228.0,0.0,,,
2025-12-12T09:36:06Z,,,0.0,222.0,0.0,,,
2025-12-12T09:36:06Z,-533.0,,,,,,,
2025-12-12T09:36:24Z,,1584.0,,,,,,
2025-12-12T09:36:26Z,,1941.0,,,,,,
2025-12-12T09:36:15Z,377.0,,,,,,,
2025-12-12T09:34:06Z,,,0.0,233.0,0.0,,,
2025-12-12T09:34:43Z,,,0.0,234.0,0.0,,,
2025-12-12T09:36:19Z,777.0,,,,,,,
2025-12-12T09:36:29Z,,2162.0,,,,,,
2025-12-12T09:36:20Z,453.0,,,,,,,
2025-12-12T09:36:32Z,,2487.0,,,,,,
2025-12-12T09:36:14Z,-628.0,,,,,,,
2025-12-12T09:36:22Z,172.0,,,,,,,
2025-12-12T09:36:23Z,-33.0,,,,,,,
2025-12-12T09:34:06Z,,,0.0,233.0,0.0,,,
2025-12-12T09:34:43Z,,,0.0,234.0,0.0,,,
2025-12-12T09:36:34Z,,2971.0,,,,,,
2025-12-12T09:36:25Z,-324.0,,,,,,,
2025-12-12T09:36:29Z,-684.0,,,,,,,
2025-12-12T09:36:35Z,,3052.0,,,,,,
2025-12-12T09:36:32Z,-1135.0,,,,,,,
2025-12-12T09:36:33Z,-1368.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:36:42Z,,,57.0,220.0,0.4826,,,
2025-12-12T09:36:44Z,-1074.0,,,,,,,
2025-12-12T09:36:45Z,-1287.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:36:42Z,,,57.0,220.0,0.4826,,,
2025-12-12T09:36:54Z,,2999.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:36:52Z,,,56.0,220.0,0.4804,,,
2025-12-12T09:36:41Z,-573.0,,,,,,,
2025-12-12T09:36:57Z,-1131.0,,,,,,,
2025-12-12T09:36:58Z,-1327.0,,,,,,,
2025-12-12T09:36:52Z,,,0.0,231.0,0.0,,,
2025-12-12T09:34:43Z,,,0.0,234.0,0.0,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:37:02Z,,,54.0,218.0,0.4946,,,
2025-12-12T09:36:57Z,-873.0,,,,,,,
2025-12-12T09:37:05Z,,1206.0,,,,,,
2025-12-12T09:37:09Z,-1001.0,,,,,,,
2025-12-12T09:37:10Z,-1261.0,,,,,,,
2025-12-12T09:36:56Z,-628.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:37:12Z,,,63.0,219.0,0.512,,,
2025-12-12T09:37:06Z,-588.0,,,,,,,
2025-12-12T09:36:52Z,,,0.0,231.0,0.0,,,
2025-12-12T09:34:43Z,,,0.0,234.0,0.0,,,
2025-12-12T09:37:08Z,-597.0,,,,,,,
2025-12-12T09:37:18Z,,1185.0,,,,,,
2025-12-12T09:37:11Z,-957.0,,,,,,,
2025-12-12T09:37:04Z,-591.0,,,,,,,
2025-12-12T09:36:52Z,,,0.0,231.0,0.0,,,
2025-12-12T09:37:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:37:31Z,1834.0,,,,,,,
2025-12-12T09:37:04Z,,,1.0,223.0,0.0,,,
2025-12-12T09:37:34Z,-960.0,,,,,,,
2025-12-12T09:37:37Z,1771.0,,,,,,,
2025-12-12T09:37:35Z,-1206.0,,,,,,,
2025-12-12T09:37:04Z,,,1.0,223.0,0.0,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:37:37Z,,,64.0,222.0,0.47,,,
2025-12-12T09:37:04Z,,,1.0,223.0,0.0,,,
2025-12-12T09:37:42Z,,,0.0,222.0,0.0,,,
2025-12-12T09:37:42Z,-566.0,,,,,,,
2025-12-12T09:37:59Z,-980.0,,,,,,,
2025-12-12T09:37:43Z,-627.0,,,,,,,
2025-12-12T09:38:00Z,-1221.0,,,,,,,
2025-12-12T09:36:52Z,,,0.0,231.0,0.0,,,
2025-12-12T09:37:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:38:02Z,,,57.0,220.0,0.4778,,,
2025-12-12T09:38:04Z,-1170.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:38:07Z,,,59.0,220.0,0.5,,,
2025-12-12T09:38:08Z,-1203.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:38:12Z,,,61.0,220.0,0.475,,,
2025-12-12T09:37:55Z,-583.0,,,,,,,
2025-12-12T09:36:52Z,,,0.0,231.0,0.0,,,
2025-12-12T09:37:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:38:00Z,-612.0,,,,,,,
2025-12-12T09:38:03Z,-573.0,,,,,,,
2025-12-12T09:36:52Z,,,0.0,231.0,0.0,,,
2025-12-12T09:37:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:38:24Z,-956.0,,,,,,,
2025-12-12T09:38:25Z,-1211.0,,,,,,,
2025-12-12T09:38:11Z,-623.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:38:27Z,,,58.0,220.0,0.5145,,,
2025-12-12T09:36:52Z,,,0.0,231.0,0.0,,,
2025-12-12T09:37:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:38:19Z,-662.0,,,,,,,
2025-12-12T09:38:21Z,-569.0,,,,,,,
2025-12-12T09:36:52Z,,,0.0,231.0,0.0,,,
2025-12-12T09:37:21Z,,,0.0,234.0,0.0,,,
2025-12-12T09:38:49Z,-1005.0,,,,,,,
2025-12-12T09:38:50Z,-1246.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:38:52Z,,,53.0,222.0,0.4559,,,
2025-12-12T09:39:00Z,,1501.0,,,,,,
2025-12-12T09:38:54Z,,,1.0,223.0,0.0,,,
2025-12-12T09:38:54Z,,,1.0,223.0,0.0,,,
2025-12-12T09:39:09Z,,,0.0,222.0,0.0,,,
2025-12-12T09:39:14Z,-1005.0,,,,,,,
2025-12-12T09:39:15Z,-1239.0,,,,,,,
2025-12-12T09:39:15Z,,1408.0,,,,,,
2025-12-12T09:39:09Z,-863.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:39:17Z,,,59.0,223.0,0.484,,,
2025-12-12T09:39:10Z,-965.0,,,,,,,
2025-12-12T09:39:22Z,-771.0,,,,,,,
2025-12-12T09:39:30Z,,1193.0,,,,,,
2025-12-12T09:39:37Z,,1185.0,,,,,,
2025-12-12T09:39:39Z,-1008.0,,,,,,,
2025-12-12T09:39:40Z,-1278.0,,,,,,,
2025-12-12T09:39:26Z,-605.0,,,,,,,
